@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {cnn,cbc}


@data
0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,10.0,5.2,1,cnn
0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,18.0,3.94,1,cnn
1,0,0,1,0,0,1,1,0,0,0,12,0,0,0,0,0,10.0,4.5,2,cnn
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,7.0,4.29,1,cnn
0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,4.0,4.13,2,cnn
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,5.83,1,cnn
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5.0,2.8,1,cnn
0,0,0,1,0,0,0,1,0,0,0,8,2,1,0,0,0,9.0,4.33,2,cnn
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.13,1,cnn
0,0,0,0,0,0,0,1,0,0,0,5,4,1,1,0,3,8.67,3.5,3,cnn
0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,5.38,1,cnn
1,0,1,0,0,0,0,2,0,0,0,8,1,3,0,0,2,5.25,3.24,4,cnn
0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,4.5,4.0,2,cnn
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,4.0,1,cnn
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.71,1,cnn
0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,8.0,3.75,1,cnn
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,5.67,1,cnn
0,0,0,1,1,0,1,0,0,0,0,4,3,0,0,0,1,15.0,5.33,1,cnn
0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,6.33,3.26,3,cnn
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,3.29,1,cnn
0,0,0,0,0,0,1,1,0,0,0,10,3,1,0,0,4,10.5,5.14,2,cnn
2,1,0,1,0,0,0,1,0,0,0,4,1,1,0,0,1,8.5,2.88,2,cnn
0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,3.5,5.29,2,cnn
0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10.0,3.2,1,cnn
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.0,1,cnn
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,7.5,3.8,2,cnn
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,11.0,3.91,1,cnn
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,5.33,1,cnn
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,8.0,5.13,1,cnn
1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,9.0,3.78,1,cnn
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9.0,4.33,1,cnn
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,8.0,3.75,1,cnn
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,4.2,1,cnn
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.0,4.14,1,cnn
0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,6.0,4.33,2,cnn
0,0,0,2,0,0,1,0,0,0,0,8,1,1,0,0,2,19.0,4.63,1,cnn
0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,12.0,4.83,1,cnn
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,10.0,5.0,1,cnn
0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,6.5,3.85,2,cnn
2,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,1,8.33,4.52,3,cnn
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.0,4.0,1,cnn
0,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0,1,8.0,4.81,2,cnn
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11.0,4.27,1,cnn
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,7.0,3.43,1,cnn
0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,4.0,4.75,2,cnn
