@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {barackobama,stephencolbert,ashtonkutcher,kimkardashian,neiltyson,shakira}


@data
1,1,0,0,0,1,0,1,0,0,0,3,3,0,1,0,0,7.5,3.47,2,barackobama
0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,6.5,5.0,2,barackobama
0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,1,11.0,4.23,2,barackobama
0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,9.0,4.33,2,barackobama
0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7.5,3.73,2,barackobama
0,0,1,1,0,0,1,0,0,0,0,5,0,3,0,0,0,10.0,4.55,2,barackobama
0,0,1,1,0,2,0,1,0,0,0,15,4,1,0,0,2,9.4,4.13,5,barackobama
0,0,1,1,1,1,1,0,0,0,0,7,3,1,0,0,0,29.0,3.79,1,barackobama
0,0,0,1,1,0,1,1,0,0,0,8,3,0,0,0,0,9.5,5.11,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,4.0,3.0,2,barackobama
2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,10.0,4.25,2,barackobama
0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,3.33,4.0,3,barackobama
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,2.75,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,9.0,4.0,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,6.5,4.23,2,barackobama
0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,19.0,5.05,1,barackobama
1,0,0,1,1,0,0,0,0,0,0,7,1,0,0,0,0,23.0,4.52,1,barackobama
0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10.0,3.7,1,barackobama
3,0,0,1,1,1,2,0,0,0,0,9,0,1,0,0,0,13.5,3.93,2,barackobama
2,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,6.33,3.95,3,barackobama
0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,6.5,3.23,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,2,10.5,4.38,2,barackobama
1,0,0,1,0,0,1,0,0,0,0,9,1,1,0,0,0,14.5,3.72,2,barackobama
0,0,0,1,0,0,0,1,0,0,0,7,3,0,0,0,0,6.33,4.32,3,barackobama
0,0,1,1,0,0,2,1,0,0,0,6,4,1,0,0,0,12.0,4.29,2,barackobama
0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,10.0,4.15,2,barackobama
1,0,1,1,0,0,0,0,0,0,0,8,3,0,0,0,0,13.0,4.23,2,barackobama
0,0,0,1,0,0,0,1,0,0,0,6,5,0,0,0,0,10.0,4.1,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,9,4,0,0,0,2,18.0,4.28,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,0,2,11.5,3.96,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,8.0,4.25,2,barackobama
2,0,0,0,1,1,0,1,0,0,0,12,1,1,2,0,2,9.4,3.72,5,barackobama
0,2,0,1,0,0,0,1,0,0,0,7,0,1,0,0,0,8.0,4.44,2,barackobama
2,0,0,1,0,0,1,0,0,0,0,8,3,3,1,0,0,20.5,4.27,2,barackobama
0,0,1,0,0,0,1,1,0,0,0,7,5,1,0,0,1,10.0,3.5,2,barackobama
1,0,0,1,0,0,0,0,0,0,0,6,3,2,1,0,0,13.0,4.23,2,barackobama
0,0,1,0,0,0,1,1,0,0,0,7,0,2,0,0,0,7.5,6.13,2,barackobama
1,0,0,3,0,0,1,0,0,0,0,7,1,1,0,0,0,20.0,4.7,1,barackobama
