@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift}


@data
4,2,0,0,1,0,0,0,0,0,0,7,1,4,0,1,1,6.0,3.43,5,britneyspears
0,1,2,2,0,0,0,1,1,0,0,11,2,2,0,0,2,9.5,4.08,4,britneyspears
0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,5.0,3.35,4,britneyspears
2,0,0,2,1,0,0,0,0,0,0,11,2,2,0,1,1,7.75,3.39,4,britneyspears
2,2,0,0,0,1,3,2,1,0,0,9,2,5,0,1,1,15.0,3.5,2,britneyspears
2,2,1,2,1,0,2,1,1,0,0,11,1,2,0,2,1,10.33,3.39,3,britneyspears
0,0,0,0,0,0,1,0,0,2,0,4,4,0,0,0,0,15.0,3.6,1,britneyspears
0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,16.0,4.56,1,britneyspears
1,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,7.5,3.13,2,britneyspears
4,2,0,0,0,0,1,1,1,0,0,11,1,2,0,1,1,7.25,3.1,4,britneyspears
0,0,1,0,1,0,0,0,0,0,0,13,1,1,0,2,2,5.2,4.0,5,britneyspears
2,3,0,0,0,0,0,0,0,0,0,12,1,1,0,0,9,8.33,4.4,3,britneyspears
1,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,9.0,4.94,2,britneyspears
1,1,0,0,1,0,0,2,2,1,0,11,1,0,0,0,1,6.75,3.85,4,britneyspears
1,5,0,0,1,0,1,0,1,0,0,14,1,1,0,1,1,5.2,3.31,5,britneyspears
0,1,0,1,1,0,1,0,1,0,0,10,2,0,0,0,0,8.67,3.58,3,britneyspears
1,1,1,0,0,0,0,0,2,0,1,7,1,0,0,0,0,8.33,3.6,3,britneyspears
0,1,0,0,0,0,1,0,0,0,1,7,0,1,1,0,0,6.0,4.06,3,britneyspears
0,1,1,1,0,0,2,0,0,0,0,6,0,2,0,0,0,10.0,3.8,2,britneyspears
0,4,1,0,1,0,1,1,1,0,0,8,2,0,0,0,3,8.33,3.56,3,britneyspears
3,0,0,0,2,0,0,0,0,0,0,8,2,0,1,0,2,12.5,4.08,2,britneyspears
1,0,0,1,0,0,0,0,1,0,1,7,2,0,0,0,1,6.5,3.69,2,britneyspears
1,2,1,1,2,0,0,1,0,1,0,8,1,0,0,0,1,6.5,3.73,4,britneyspears
0,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0,1,6.0,3.08,2,britneyspears
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4.67,6.21,3,britneyspears
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3.0,4.33,2,britneyspears
