@relation tweets-weka.filters.unsupervised.attribute.StringToNominal-Rlast

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute classname {bs,jb,kp,lgg,rih,ts}

@data

4,2,0,0,1,0,0,0,0,0,0,7,1,4,0,1,1,6,3.43,5,bs
0,1,2,2,0,0,0,1,1,0,0,11,2,2,0,0,2,9.5,4.08,4,bs
0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,5,3.35,4,bs
2,0,0,2,1,0,0,0,0,0,0,11,2,2,0,1,1,7.75,3.39,4,bs
2,2,0,0,0,1,3,2,1,0,0,9,2,5,0,1,1,15,3.5,2,bs
2,2,1,2,1,0,2,1,1,0,0,11,1,2,0,2,1,10.33,3.39,3,bs
0,0,0,0,0,0,1,0,0,2,0,4,4,0,0,0,0,15,3.6,1,bs
0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,16,4.56,1,bs
1,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,7.5,3.13,2,bs
4,2,0,0,0,0,1,1,1,0,0,11,1,2,0,1,1,7.25,3.1,4,bs
0,0,1,0,1,0,0,0,0,0,0,13,1,1,0,2,2,5.2,4,5,bs
2,3,0,0,0,0,0,0,0,0,0,12,1,1,0,0,9,8.33,4.4,3,bs
1,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,9,4.94,2,bs
1,1,0,0,1,0,0,2,2,1,0,11,1,0,0,0,1,6.75,3.85,4,bs
1,5,0,0,1,0,1,0,1,0,0,14,1,1,0,1,1,5.2,3.31,5,bs
0,1,0,1,1,0,1,0,1,0,0,10,2,0,0,0,0,8.67,3.58,3,bs
1,1,1,0,0,0,0,0,2,0,1,7,1,0,0,0,0,8.33,3.6,3,bs
