@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute classname string


@data
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9.0,4.11,1,ak
0,1,0,0,0,0,1,1,0,1,0,6,0,0,0,0,0,6.5,4.0,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,4.2,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,4.6,1,ak
0,0,0,1,0,0,2,1,0,0,0,6,2,1,0,0,1,8.5,4.47,2,ak
0,1,1,1,0,0,0,0,1,0,0,3,0,4,0,1,0,16.0,3.63,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,5.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0,5.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,2.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.0,2.57,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.0,7.67,1,ak
1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,15.0,3.6,1,ak
0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,17.0,3.65,1,ak
2,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,1,8.5,3.41,2,ak
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4.0,4.5,2,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6.0,4.0,1,ak
0,1,1,1,1,0,0,1,0,0,0,9,0,0,0,1,2,11.5,3.65,2,ak
0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,6.0,3.83,4,ak
0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,10.0,3.7,1,ak
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.0,4.83,1,ak
0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,4.3,1,ak
